customer_id,first_name,last_name,email,phone,age,city,country,job_title,salary,registration_date,last_login,orders_count,total_spent,customer_segment,is_active,department,full_name,spending_per_order,age_category,high_spender,high_earner,days_since_registration,email_domain,customer_score
1,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,58,South Bridget,Sudan,Accounting technician,44592,2025-03-16,2025-08-14 21:47:20.948049,1,3707.75,Silver,True,Marketing,Danielle Johnson,1853.88,Senior (50+),True,False,207,example.net,2625.4249999999997
2,Roberto,Ramirez,susanrogers@example.org,(615)759-4078x1618,65,Lake Chad,Panama,Estate agent,43434,2025-03-27,2025-09-08 16:11:38.181553,43,3703.34,Bronze,False,IT,Roberto Ramirez,84.17,Senior (50+),True,False,196,example.org,3882.3379999999997
5,Daniel,Burton,ycarlson@example.com,+1-878-448-0184x514,66,Smithview,Macao,"Editor, magazine features",135620,2024-09-14,2025-08-13 07:27:00.852692,10,3490.7,Gold,False,Marketing,Daniel Burton,317.34,Senior (50+),True,True,390,example.com,2743.49
8,Michele,Jones,joshuawashington@example.net,(399)873-7631,25,Rodneymouth,Tonga,Audiological scientist,79615,2025-01-13,2025-09-08 15:26:00.227861,5,2760.2,Gold,True,Operations,Michele Jones,460.03,Young (18-29),True,False,269,example.net,2082.1399999999994
13,Vanessa,Valdez,contrerasangela@example.net,524-711-8244,38,Lake Cynthia,Estonia,Risk analyst,140474,2024-08-31,2025-09-06 06:40:36.184878,49,3880.0,Silver,True,Sales,Vanessa Valdez,77.6,Middle-aged (30-49),True,True,404,example.net,4186.0
18,Christina,Turner,torresjason@example.net,+1-757-377-3872x148,58,Lake Lance,Sri Lanka,"Engineer, civil (contracting)",50969,2023-12-25,2025-08-11 12:06:29.957296,50,3402.41,Bronze,False,HR,Christina Turner,66.71,Senior (50+),True,False,654,example.net,3881.687
23,Nichole,Ramirez,fking@example.com,5802531003,66,East David,Paraguay,Colour technologist,51174,2024-10-25,2025-08-16 15:46:08.090030,34,4767.5,Bronze,False,HR,Nichole Ramirez,136.21,Senior (50+),True,False,349,example.com,4357.25
24,Holly,Wang,catherinestuart@example.net,824-519-0496,19,New Hannahbury,Bosnia and Herzegovina,Illustrator,44662,2025-05-22,2025-08-28 03:07:50.905605,23,4393.61,Gold,True,IT,Holly Wang,183.07,Young (18-29),True,False,140,example.net,3765.5269999999996
25,David,Riggs,reedross@example.com,985-406-7165,33,Thompsonhaven,Pakistan,Geophysicist/field seismologist,145082,2024-12-02,2025-09-06 16:57:32.966692,36,4734.75,Bronze,False,IT,David Riggs,127.97,Middle-aged (30-49),True,True,311,example.com,4394.325
26,Kim,Marshall,marcus31@example.com,537.799.6507x527,80,Matthewview,Moldova,Administrator,129693,2024-09-20,2025-08-15 20:23:42.249782,34,3829.17,Silver,False,Finance,Kim Marshall,109.4,Senior (50+),True,True,384,example.com,3700.419
