customer_id,first_name,last_name,email,phone,age,city,country,job_title,salary,registration_date,last_login,orders_count,total_spent,customer_segment,is_active,department
1,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,58,South Bridget,Sudan,Accounting technician,44592,2025-03-16,2025-08-14 21:47:20.948049,1,3707.75,Silver,True,Marketing
2,Roberto,Ramirez,susanrogers@example.org,(615)759-4078x1618,65,Lake Chad,Panama,Estate agent,43434,2025-03-27,2025-09-08 16:11:38.181553,43,3703.34,Bronze,False,IT
3,Melissa,Delacruz,oramirez@example.com,(555)434-1928,19,Grayside,Cyprus,"Journalist, broadcasting",42280,2025-05-17,2025-09-02 09:33:15.770728,13,1163.3,Bronze,True,Operations
4,Jeremy,Johnson,richard13@example.net,001-653-876-7242x388,59,Coxberg,Malawi,"Research officer, political party",121924,2023-11-14,2025-08-11 12:45:29.645101,34,2097.6,Platinum,False,IT
5,Daniel,Burton,ycarlson@example.com,+1-878-448-0184x514,66,Smithview,Macao,"Editor, magazine features",135620,2024-09-14,2025-08-13 07:27:00.852692,10,3490.7,Gold,False,Marketing
6,Colleen,Skinner,ericfarmer@example.net,001-380-395-7015x43039,31,Cabreraside,Seychelles,Comptroller,130072,2023-12-11,2025-08-24 09:02:15.924032,21,511.05,Platinum,True,Sales
7,Andrea,Baker,ibrandt@example.net,001-734-265-7871x331,72,New Jeffrey,Barbados,Barrister's clerk,75082,2024-02-23,2025-09-06 06:44:12.673712,38,1322.6,Bronze,False,Finance
8,Michele,Jones,joshuawashington@example.net,(399)873-7631,25,Rodneymouth,Tonga,Audiological scientist,79615,2025-01-13,2025-09-08 15:26:00.227861,5,2760.2,Gold,True,Operations
9,Corey,Powell,lauren13@example.org,387.926.2473,22,North Deniseside,Taiwan,"Administrator, local government",36006,2025-08-17,2025-09-06 21:49:07.219957,42,1139.49,Gold,True,Marketing
10,Melinda,Martin,zolson@example.org,(960)464-7468,73,West Jeff,Azerbaijan,TEFL teacher,43238,2025-02-27,2025-08-11 22:43:26.025267,24,1389.87,Gold,True,Sales
11,Lee,Williams,hshaw@example.org,3815219136,40,New Christophershire,Mongolia,"Scientist, research (medical)",57460,2024-04-27,2025-08-17 22:35:08.683005,42,1334.89,Bronze,True,Finance
12,Elizabeth,Edwards,randy47@example.com,001-310-579-9118x38425,64,Justinmouth,Syrian Arab Republic,Speech and language therapist,62087,2025-02-04,2025-08-28 11:14:32.768762,10,2311.3,Gold,True,Operations
13,Vanessa,Valdez,contrerasangela@example.net,524-711-8244,38,Lake Cynthia,Estonia,Risk analyst,140474,2024-08-31,2025-09-06 06:40:36.184878,49,3880.0,Silver,True,Sales
14,Meghan,Davis,ccalderon@example.org,724-427-8680x11280,43,Andersonport,Haiti,Archaeologist,65093,2025-06-27,2025-08-16 10:05:22.387377,4,1054.91,Gold,True,Operations
15,John,Garcia,vdickson@example.org,622.460.2563,49,South Monicafort,Cyprus,"Engineer, communications",81856,2025-04-27,2025-08-23 22:15:09.984288,41,2294.26,Gold,True,Marketing
16,Kevin,Pope,jeffreykeller@example.com,641-245-8685x01429,65,New Ryanmouth,Jordan,Trading standards officer,103579,2025-08-28,2025-08-13 14:05:57.872204,34,1313.71,Platinum,False,Sales
17,Rachel,Lee,fletcheraaron@example.net,+1-835-661-5951x48465,32,East Robert,Wallis and Futuna,Museum education officer,48131,2025-01-16,2025-09-06 04:51:15.974539,32,2467.58,Bronze,True,Marketing
18,Christina,Turner,torresjason@example.net,+1-757-377-3872x148,58,Lake Lance,Sri Lanka,"Engineer, civil (contracting)",50969,2023-12-25,2025-08-11 12:06:29.957296,50,3402.41,Bronze,False,HR
19,Tracey,Carr,gibsonolivia@example.net,567.463.2016,56,Williamsbury,United States Virgin Islands,Community development worker,91348,2024-08-07,2025-09-03 03:51:15.831664,33,1257.07,Bronze,True,Operations
20,Elizabeth,Travis,stephanie79@example.net,968.372.7743x48734,74,Jimmymouth,Ghana,"Sound technician, broadcasting/film/video",100381,2023-11-06,2025-08-14 15:25:57.065570,48,1334.13,Gold,True,Sales
21,Patrick,Hernandez,calebrussell@example.net,760.636.6909x670,45,Castanedachester,Mauritania,Sports coach,50730,2025-04-15,2025-09-06 01:15:31.012459,29,16.23,Gold,True,Finance
22,Tracy,Nelson,vjohnson@example.net,+1-462-972-9806x99016,76,North Jorge,Greece,"Engineer, mining",43947,2024-08-06,2025-08-20 05:50:05.420608,40,1492.22,Silver,True,Sales
23,Nichole,Ramirez,fking@example.com,5802531003,66,East David,Paraguay,Colour technologist,51174,2024-10-25,2025-08-16 15:46:08.090030,34,4767.5,Bronze,False,HR
24,Holly,Wang,catherinestuart@example.net,824-519-0496,19,New Hannahbury,Bosnia and Herzegovina,Illustrator,44662,2025-05-22,2025-08-28 03:07:50.905605,23,4393.61,Gold,True,IT
25,David,Riggs,reedross@example.com,985-406-7165,33,Thompsonhaven,Pakistan,Geophysicist/field seismologist,145082,2024-12-02,2025-09-06 16:57:32.966692,36,4734.75,Bronze,False,IT
26,Kim,Marshall,marcus31@example.com,537.799.6507x527,80,Matthewview,Moldova,Administrator,129693,2024-09-20,2025-08-15 20:23:42.249782,34,3829.17,Silver,False,Finance
